PassengerId,HomePlanet,CryoSleep,Cabin,Destination
0001_01,Europa,False,B/0/P,TRAPPIST-1e
0002_01,Earth,False,F/0/S,TRAPPIST-1e
0003_01,Europa,False,A/0/S,TRAPPIST-1e
0003_02,Europa,False,A/0/S,TRAPPIST-1e
0004_01,Earth,False,F/1/S,TRAPPIST-1e
0005_01,Earth,False,F/0/P,PSO J318.5-22
0006_01,Earth,False,F/2/S,TRAPPIST-1e
0006_02,Earth,True,G/0/S,TRAPPIST-1e
0007_01,Earth,False,F/3/S,TRAPPIST-1e
0008_01,Europa,True,B/1/P,55 Cancri e
0008_02,Europa,True,B/1/P,TRAPPIST-1e
0008_03,Europa,False,B/1/P,55 Cancri e
0009_01,Mars,False,F/1/P,TRAPPIST-1e
0010_01,Earth,False,G/1/S,TRAPPIST-1e
0011_01,Earth,False,F/2/P,TRAPPIST-1e
0012_01,Earth,False,,TRAPPIST-1e
0014_01,Mars,False,F/3/P,55 Cancri e
0015_01,Earth,False,F/4/P,55 Cancri e
0016_01,Mars,True,F/5/P,TRAPPIST-1e
0017_01,Earth,False,G/0/P,TRAPPIST-1e
0017_02,Earth,False,F/6/P,55 Cancri e
0020_01,Earth,True,E/0/S,TRAPPIST-1e
0020_02,Earth,True,E/0/S,55 Cancri e
0020_03,Earth,True,E/0/S,55 Cancri e
0020_04,Earth,False,E/0/S,TRAPPIST-1e
0020_05,Earth,True,E/0/S,PSO J318.5-22
0020_06,Earth,False,E/0/S,TRAPPIST-1e
0022_01,Mars,False,D/0/P,TRAPPIST-1e
0024_01,Europa,True,C/2/S,TRAPPIST-1e
0025_01,Earth,False,F/6/S,TRAPPIST-1e
0026_01,Europa,False,C/0/P,55 Cancri e
0028_01,Mars,False,F/8/P,TRAPPIST-1e
0030_01,Earth,False,G/4/S,TRAPPIST-1e
0031_01,Mars,False,F/9/P,TRAPPIST-1e
0031_02,Mars,False,F/9/P,TRAPPIST-1e
0031_03,Mars,False,F/9/P,TRAPPIST-1e
0034_01,Europa,True,D/1/S,55 Cancri e
0035_01,Mars,False,D/1/P,55 Cancri e
0036_01,Earth,False,F/8/S,55 Cancri e
0038_01,Earth,False,F/10/S,55 Cancri e
0039_01,Earth,True,G/1/P,55 Cancri e
0041_01,Earth,True,G/2/P,TRAPPIST-1e
0043_01,Europa,False,B/3/P,TRAPPIST-1e
0044_01,Earth,True,G/3/P,TRAPPIST-1e
0044_02,Earth,True,G/3/P,55 Cancri e
0044_03,Earth,True,G/3/P,PSO J318.5-22
0045_01,Mars,False,F/10/P,TRAPPIST-1e
0045_02,Mars,True,F/10/P,
0050_01,Earth,False,E/1/S,55 Cancri e
0051_01,Earth,False,E/2/S,TRAPPIST-1e
0052_01,Earth,False,G/6/S,TRAPPIST-1e
0053_01,Earth,False,F/11/S,TRAPPIST-1e
0056_01,Europa,False,A/1/S,TRAPPIST-1e
0056_02,Europa,True,A/1/S,TRAPPIST-1e
0056_03,Europa,False,A/1/S,TRAPPIST-1e
0058_01,Earth,True,G/7/S,PSO J318.5-22
0061_01,Earth,False,F/12/S,TRAPPIST-1e
0062_01,Earth,False,F/13/S,TRAPPIST-1e
0064_01,Mars,True,F/14/S,TRAPPIST-1e
0064_02,,True,E/3/S,TRAPPIST-1e
0066_01,Earth,False,G/6/P,TRAPPIST-1e
0067_01,Earth,True,G/10/S,PSO J318.5-22
0067_02,Earth,False,G/10/S,TRAPPIST-1e
0067_03,Earth,False,F/15/S,55 Cancri e
0068_01,Mars,False,E/4/S,TRAPPIST-1e
0069_01,Earth,False,F/16/S,TRAPPIST-1e
0070_01,Earth,False,F/13/P,TRAPPIST-1e
0071_01,Earth,False,F/14/P,TRAPPIST-1e
0072_01,Earth,False,F/17/S,TRAPPIST-1e
0073_01,Mars,False,D/3/P,PSO J318.5-22
0074_01,Europa,False,C/3/S,TRAPPIST-1e
0076_01,Mars,False,F/18/S,TRAPPIST-1e
0077_01,Mars,False,F/15/P,TRAPPIST-1e
0078_01,Europa,False,C/4/S,TRAPPIST-1e
0081_01,Earth,True,G/13/S,TRAPPIST-1e
0082_01,Mars,False,F/16/P,TRAPPIST-1e
0082_02,Mars,True,F/16/P,TRAPPIST-1e
0082_03,Mars,False,F/16/P,TRAPPIST-1e
0084_01,Earth,False,G/14/S,TRAPPIST-1e
0085_01,Europa,True,C/5/S,TRAPPIST-1e
0086_01,Earth,False,F/17/P,TRAPPIST-1e
0088_01,Mars,True,E/5/S,PSO J318.5-22
0090_01,Earth,True,G/15/S,TRAPPIST-1e
0091_01,Earth,True,G/16/S,TRAPPIST-1e
0091_02,Earth,False,F/20/S,TRAPPIST-1e
0092_01,Earth,False,G/9/P,TRAPPIST-1e
0092_02,Earth,True,G/9/P,TRAPPIST-1e
0092_03,Earth,True,G/9/P,TRAPPIST-1e
0097_01,Europa,False,A/2/S,TRAPPIST-1e
0098_01,Earth,False,G/11/P,TRAPPIST-1e
0098_02,Earth,False,G/11/P,TRAPPIST-1e
0099_01,Earth,False,F/19/P,PSO J318.5-22
0099_02,Earth,,G/12/P,TRAPPIST-1e
0101_01,Mars,True,,TRAPPIST-1e
0102_01,Earth,False,F/23/S,TRAPPIST-1e
0103_01,Earth,False,F/24/S,TRAPPIST-1e
0103_02,Earth,True,G/18/S,55 Cancri e
0103_03,Earth,True,G/18/S,TRAPPIST-1e
0105_01,Earth,,F/21/P,TRAPPIST-1e
0107_01,Mars,False,D/2/S,TRAPPIST-1e
0108_01,Earth,True,G/19/S,TRAPPIST-1e
0108_02,Earth,False,G/19/S,TRAPPIST-1e
0108_03,Earth,False,G/19/S,TRAPPIST-1e
0110_01,Europa,False,,TRAPPIST-1e
0110_02,Europa,,B/5/P,TRAPPIST-1e
0110_03,Europa,False,B/5/P,TRAPPIST-1e
0110_04,Europa,True,B/5/P,TRAPPIST-1e
0111_01,Europa,True,E/6/S,TRAPPIST-1e
0112_01,Europa,False,B/1/S,55 Cancri e
0113_01,Earth,False,F/23/P,TRAPPIST-1e
0114_01,Earth,False,G/20/S,TRAPPIST-1e
0115_01,Mars,,F/24/P,TRAPPIST-1e
0116_01,Europa,False,D/4/P,TRAPPIST-1e
0119_01,,False,A/0/P,TRAPPIST-1e
0119_02,Europa,True,A/0/P,TRAPPIST-1e
0120_01,Mars,True,F/25/P,TRAPPIST-1e
0122_01,Earth,False,G/21/S,TRAPPIST-1e
0123_01,Earth,False,F/27/P,TRAPPIST-1e
0126_01,Mars,True,F/27/S,TRAPPIST-1e
0127_01,Mars,False,E/7/S,TRAPPIST-1e
0128_01,Mars,False,D/3/S,TRAPPIST-1e
0128_02,Mars,False,E/8/S,TRAPPIST-1e
0129_01,Earth,True,G/22/S,PSO J318.5-22
0133_01,Mars,True,F/29/S,TRAPPIST-1e
0133_02,Mars,False,D/5/S,TRAPPIST-1e
0134_01,Earth,False,G/17/P,TRAPPIST-1e
